# query 1
0 qid:1 1:-26.544225436987197 2:-29.14150776937342 
1 qid:1 1:-27.786462081553896 2:-27.229397705414584 
2 qid:1 1:4.419215206866947 2:-21.00753027381101 
3 qid:1 1:81.36090169790187 2:-14.886736054276513 
4 qid:1 1:82.70398480008089 2:-14.202192184398186 
5 qid:1 1:143.95281361715536 2:-13.096994380982526 
6 qid:1 1:151.54917524321166 2:-13.11579924022888 
7 qid:1 1:154.77177035311163 2:-12.224596804751748 
8 qid:1 1:159.6565092511109 2:-4.652499845242946 
9 qid:1 1:161.20623812817112 2:-5.214712260551283 
10 qid:1 1:199.43692011835432 2:14.455424127013181 
11 qid:1 1:160.42834802514494 2:71.14177292971435 
12 qid:1 1:170.85012624111292 2:76.52236483614196 
13 qid:1 1:618.0250289229743 2:145.35153309835047 
14 qid:1 1:1644.4758216188532 2:388.1760169202545 
# query 2
0 qid:2 1:-27.061351911746286 2:-29.304118548258078 
1 qid:2 1:-23.13411651864301 2:-29.578691041908804 
2 qid:2 1:-25.819227989200158 2:-28.272903301723233 
3 qid:2 1:4.344909898135511 2:-24.800407976035757 
4 qid:2 1:3.129438966207107 2:-21.890299328554015 
5 qid:2 1:75.11493426246702 2:-13.3038000126849 
6 qid:2 1:76.2051298302004 2:-13.34602660036632 
7 qid:2 1:141.52311761972473 2:-14.161216130523297 
8 qid:2 1:198.6212111931717 2:12.244940013315116 
9 qid:2 1:212.48364946250075 2:12.098846217484443 
10 qid:2 1:239.37933391612373 2:11.839240786941195 
11 qid:2 1:156.35159059838202 2:75.53635459126599 
12 qid:2 1:174.72986115692242 2:77.76930451488708 
13 qid:2 1:442.12833147431326 2:22.060183828702172 
14 qid:2 1:529.2741555187121 2:161.87571406555566 
15 qid:2 1:1550.0986822212783 2:346.93519622533506 
16 qid:2 1:1413.5051213357606 2:410.8702407561707 
# query 3
0 qid:3 1:-24.12826066366781 2:-29.90812570366065 
1 qid:3 1:-24.604677096137742 2:-26.337007004962896 
2 qid:3 1:3.490694030428233 2:-22.312486287538185 
3 qid:3 1:3.717958804179705 2:-21.888644158654373 
4 qid:3 1:170.127962508075 2:-6.52192356560705 
5 qid:3 1:174.20413075372494 2:-5.316938820610538 
6 qid:3 1:194.04766688721824 2:66.32681427790841 
7 qid:3 1:190.77211168923174 2:72.62005968615597 
8 qid:3 1:166.625430339174 2:86.10645446681814 
